iter	Passed	Remaining
399	34689	52034
400	34771	51941
401	34855	51849
402	34940	51760
403	35031	51680
404	35118	51593
405	35212	51518
406	35297	51428
407	35378	51333
408	35471	51255
409	35548	51154
410	35632	51064
411	35714	50971
412	35788	50866
413	35864	50764
414	35960	50691
415	36045	50602
416	36127	50509
417	36171	50362
418	36265	50286
419	36363	50215
420	36454	50136
421	36544	50054
422	36631	49967
423	36719	49882
424	36793	49778
425	36882	49696
426	36965	49604
427	37053	49520
428	37140	49434
429	37228	49349
430	37322	49272
431	37421	49202
432	37523	49136
433	37604	49041
434	37681	48943
435	37776	48866
436	37868	48787
437	37924	48661
438	38007	48570
439	38093	48482
440	38186	48404
441	38277	48323
442	38369	48243
443	38456	48156
444	38544	48072
445	38634	47989
446	38728	47912
447	38811	47821
448	38901	47738
449	38989	47653
450	39075	47566
451	39161	47479
452	39250	47395
453	39340	47312
454	39430	47230
455	39515	47141
456	39611	47065
457	39706	46988
458	39787	46895
459	39874	46809
460	39956	46716
461	40045	46632
462	40087	46494
463	40163	46395
464	40252	46311
465	40338	46224
466	40426	46139
467	40517	46058
468	40602	45970
469	40705	45901
470	40789	45812
471	40887	45738
472	40982	45661
473	41072	45578
474	41174	45508
475	41268	45430
476	41368	45358
477	41462	45279
478	41556	45199
479	41652	45123
480	41738	45036
481	41830	44954
482	41940	44892
483	42029	44808
484	42079	44682
485	42174	44604
486	42273	44530
487	42359	44443
488	42452	44362
489	42547	44283
490	42641	44204
491	42721	44111
492	42808	44024
493	42904	43946
494	43011	43880
495	43100	43796
496	43195	43717
497	43286	43634
498	43387	43561
499	43470	43470
500	43516	43342
501	43604	43256
502	43695	43174
503	43787	43092
504	43879	43010
505	43962	42919
506	44053	42836
507	44143	42753
508	44213	42650
509	44307	42569
510	44397	42485
511	44505	42419
512	44596	42336
513	44686	42251
514	44779	42170
515	44880	42096
516	44975	42017
517	45065	41933
518	45171	41863
519	45270	41788
520	45368	41711
521	45467	41634
522	45562	41555
523	45656	41474
524	45735	41379
525	45821	41291
526	45913	41209
527	46008	41129
528	46098	41044
529	46171	40944
530	46258	40857
531	46351	40775
532	46396	40651
533	46492	40572
534	46576	40482
535	46674	40404
536	46766	40322
537	46853	40234
538	46950	40156
539	47042	40072
540	47143	39997
541	47231	39911
542	47306	39813
543	47402	39734
544	47492	39649
545	47607	39585
546	47704	39506
547	47792	39419
548	47893	39344
549	47994	39267
550	48083	39182
551	48160	39086
552	48255	39005
553	48347	38922
554	48442	38841
555	48528	38753
556	48620	38669
557	48705	38580
558	48794	38494
559	48892	38415
560	48992	38338
561	49085	38255
562	49172	38167
563	49261	38081
564	49355	37999
565	49447	37915
566	49540	37832
567	49635	37750
568	49730	37669
569	49817	37581
570	49918	37504
571	50003	37415
572	50097	37333
573	50187	37246
574	50279	37163
575	50375	37081
576	50462	36994
577	50559	36913
578	50654	36831
579	50751	36751
580	50841	36665
581	50932	36580
582	51023	36495
583	51111	36408
584	51204	36324
585	51292	36237
586	51385	36153
587	51488	36077
588	51573	35987
589	51666	35903
590	51755	35817
591	51848	35733
592	51940	35648
593	52029	35562
594	52124	35479
595	52219	35397
596	52315	35315
597	52413	35234
598	52510	35153
599	52598	35065
600	52696	34984
601	52786	34898
602	52873	34810
603	52967	34727
604	53054	34638
605	53142	34551
606	53234	34466
607	53326	34381
608	53424	34300
609	53508	34210
610	53595	34122
611	53688	34037
612	53769	33945
613	53846	33851
614	53924	33757
615	53976	33647
616	54055	33554
617	54146	33469
618	54193	33356
619	54288	33273
620	54388	33193
621	54492	33116
622	54587	33033
623	54689	32953
624	54770	32862
625	54855	32773
626	54902	32661
627	54996	32577
628	55063	32477
629	55138	32383
630	55186	32272
631	55279	32187
632	55360	32096
633	55459	32015
634	55562	31937
635	55611	31827
636	55694	31738
637	55736	31624
638	55777	31511
639	55820	31398
640	55901	31308
641	55952	31200
642	56050	31119
643	56097	31010
644	56138	30898
645	56213	30804
646	56307	30721
647	56402	30638
648	56489	30551
649	56579	30465
650	56664	30377
651	56752	30291
652	56846	30208
653	56933	30120
654	57015	30030
655	57113	29949
656	57206	29865
657	57248	29755
658	57338	29670
659	57424	29582
