iter	RMSE
372	2.506276264
373	2.505786828
374	2.505504081
375	2.504958255
376	2.503690205
377	2.501650186
378	2.501054897
379	2.500820467
380	2.500800812
381	2.500379578
382	2.498207413
383	2.497892955
384	2.4975699
385	2.496895387
386	2.496707379
387	2.495525082
388	2.49523032
389	2.494825527
390	2.493806441
391	2.493434788
392	2.491653009
393	2.489859171
394	2.489542244
395	2.489526583
396	2.489427695
397	2.489155414
398	2.488255521
399	2.487988473
400	2.487663133
401	2.487116893
402	2.486437371
403	2.485266169
404	2.484721342
405	2.484357368
406	2.483715628
407	2.483199049
408	2.481005421
409	2.480236921
410	2.478123664
411	2.477914411
412	2.477715702
413	2.477699419
414	2.477462188
415	2.476705931
416	2.476073615
417	2.475400584
418	2.475189757
419	2.475019638
420	2.474689213
421	2.474334461
422	2.474324848
423	2.474152504
424	2.474147794
425	2.473202354
426	2.473191378
427	2.472461274
428	2.471701843
429	2.471492433
430	2.471417418
431	2.470764672
432	2.470743681
433	2.470499479
434	2.47012741
435	2.46956609
436	2.467323743
437	2.465318772
438	2.464590961
439	2.464071173
440	2.464002158
441	2.463962883
442	2.463604733
443	2.463126506
444	2.463063066
445	2.462880758
446	2.462737469
447	2.462283393
448	2.461691628
449	2.46154196
450	2.461227939
451	2.461134232
452	2.460767475
453	2.460757574
454	2.458919414
455	2.458203938
456	2.458046932
457	2.457861147
458	2.457502846
459	2.45564672
460	2.455500485
461	2.455298529
462	2.455132094
463	2.455097252
464	2.454986492
465	2.454596975
466	2.453964267
467	2.453500445
468	2.453255975
469	2.453076314
470	2.452606052
471	2.450793823
472	2.45064838
473	2.450555649
474	2.450385855
475	2.449804407
476	2.449418255
477	2.448922977
478	2.448712595
479	2.448541036
480	2.448312225
481	2.448138066
482	2.448071147
483	2.447779517
484	2.447567395
485	2.447088343
486	2.446959399
487	2.446702924
488	2.446670577
489	2.446270549
490	2.446214014
491	2.446044802
492	2.446033179
493	2.445568588
494	2.445492337
495	2.445444079
496	2.445375609
497	2.445314673
498	2.445233639
499	2.444831552
500	2.444762117
501	2.444368694
502	2.444252267
503	2.443774046
504	2.443512766
505	2.443361619
506	2.443358737
507	2.443328774
508	2.443217616
509	2.442531342
510	2.442469422
511	2.442080285
512	2.441657258
513	2.441555751
514	2.441000783
515	2.44096705
516	2.440939238
517	2.440564024
518	2.440294817
519	2.440266612
520	2.438567336
521	2.43808009
522	2.437932422
523	2.437906181
524	2.437614894
525	2.437434817
526	2.437394845
527	2.437058038
528	2.436960836
529	2.436764101
530	2.436458564
531	2.436050812
532	2.436013861
533	2.435705085
534	2.435409893
535	2.435239876
536	2.435085325
537	2.4350485
538	2.434651077
539	2.434200944
540	2.433877093
541	2.433662642
542	2.43303239
543	2.432901428
544	2.432151754
545	2.431964163
546	2.431919949
547	2.431668375
548	2.431405386
549	2.431184954
550	2.429052397
551	2.428653379
552	2.428537141
553	2.428269255
554	2.427998313
555	2.427627103
556	2.427266932
557	2.426897452
558	2.426793992
559	2.426682137
560	2.426670748
561	2.426428682
562	2.42465157
563	2.424356136
564	2.422765639
565	2.422645379
566	2.422631777
567	2.422231613
568	2.421965318
569	2.421503618
570	2.421370014
571	2.421044678
572	2.420884897
573	2.420633494
574	2.420527013
575	2.41936847
576	2.419012263
577	2.41899714
578	2.418796283
579	2.418074681
580	2.418066808
581	2.418058181
582	2.41656189
583	2.416110322
584	2.415914275
585	2.415610478
586	2.414446033
587	2.414433249
588	2.41425579
589	2.413822806
590	2.413591397
591	2.413320522
592	2.413312279
593	2.413061724
594	2.412824107
595	2.412450578
596	2.411900964
597	2.411702393
598	2.411592031
599	2.411356074
600	2.411002756
601	2.410739158
602	2.410446524
603	2.40908145
604	2.407565942
605	2.407451604
606	2.407226086
607	2.406802212
608	2.405666702
609	2.404592649
610	2.404589669
611	2.403298223
612	2.402711415
613	2.402706689
614	2.402702447
615	2.401688072
616	2.401656981
617	2.401650126
618	2.400689848
619	2.400633375
620	2.400520228
621	2.400254622
622	2.400036395
623	2.399125236
624	2.399120025
625	2.399023067
626	2.398159501
627	2.398048488
628	2.398046014
629	2.39793923
630	2.397120659
631	2.39704746
632	2.396989339
633	2.396978833
634	2.396690837
635	2.395914205
636	2.395892331
637	2.395155808
638	2.394457167
639	2.393794328
640	2.393790037
641	2.393784254
642	2.393552209
643	2.392923099
644	2.39232603
645	2.390857927
646	2.390817669
647	2.390642782
648	2.390417387
649	2.389693123
650	2.389660639
651	2.389324179
652	2.389247878
653	2.388709186
654	2.388461766
655	2.388410462
656	2.388075165
657	2.387607652
658	2.387176716
659	2.387170789
660	2.386985544
661	2.386478153
662	2.386007178
663	2.385830632
664	2.385660016
665	2.385094969
666	2.385083819
667	2.384547593
668	2.384038653
669	2.38384624
670	2.383618277
671	2.38361267
672	2.383130625
673	2.382863305
674	2.382223838
675	2.381544048
676	2.381345592
677	2.381159668
678	2.381101671
679	2.379967511
680	2.379823851
681	2.379714627
682	2.379480975
683	2.379175815
684	2.378964902
685	2.378694996
686	2.378498785
687	2.37837183
688	2.378356191
689	2.378163643
690	2.377925463
691	2.377920083
692	2.377843489
693	2.377487538
694	2.377332532
695	2.376962741
696	2.376799934
697	2.376792246
698	2.376705631
699	2.376584279
700	2.376553799
701	2.375876181
702	2.37570295
703	2.375368755
704	2.375262428
705	2.374910442
706	2.374904992
707	2.374574854
708	2.374459507
709	2.374356083
710	2.3742284
711	2.374225438
712	2.374112265
713	2.373886664
714	2.373821895
715	2.373716623
716	2.373556702
717	2.373059029
718	2.372804668
719	2.372738337
720	2.372733626
721	2.372591675
722	2.372100603
723	2.371682416
724	2.371538839
725	2.371229111
726	2.371016561
727	2.37083346
728	2.370616615
729	2.370435186
730	2.370159663
731	2.370099128
732	2.370096932
733	2.369980187
734	2.369646585
735	2.369588606
736	2.36945742
737	2.369219402
738	2.36881498
739	2.368705602
740	2.368472382
741	2.368397411
742	2.367999368
743	2.367584219
744	2.367380917
745	2.367311582
746	2.367041869
747	2.366821975
748	2.366572033
749	2.366477322
750	2.36638883
751	2.366265323
752	2.366216941
753	2.364906876
754	2.364735562
755	2.364705031
756	2.364701027
757	2.364387269
758	2.363883407
759	2.363531316
760	2.362808735
761	2.362657322
762	2.362282592
763	2.362086392
764	2.362000872
765	2.361672082
766	2.361416618
767	2.361083955
768	2.361031249
769	2.360832082
770	2.360495984
771	2.3604142
772	2.360404251
773	2.359995561
774	2.359895147
775	2.359501621
776	2.359240522
777	2.359004738
778	2.358935516
779	2.358598932
780	2.358316817
781	2.358315613
782	2.358018811
783	2.357806439
784	2.357496475
785	2.357249809
786	2.356399646
787	2.355240885
788	2.354591618
789	2.354418709
790	2.354400133
791	2.354314216
792	2.353932577
793	2.353792128
794	2.353654942
795	2.353541988
796	2.353196774
797	2.352959216
798	2.352951345
799	2.352929972
800	2.352926159
801	2.352918679
802	2.352297044
803	2.352085721
804	2.352083411
805	2.351925965
806	2.35189792
807	2.35175611
808	2.351754132
809	2.351703761
810	2.351581984
811	2.351567829
812	2.351442806
813	2.350600051
814	2.350598038
815	2.350172606
816	2.350152241
817	2.349965074
818	2.349397003
819	2.349231545
820	2.34920589
821	2.349068107
822	2.348740757
823	2.348428236
824	2.348216957
825	2.34821618
826	2.34795105
827	2.347640259
828	2.347503851
829	2.347424607
830	2.347320034
831	2.347284928
832	2.347118488
833	2.347105824
834	2.346973382
835	2.346970409
836	2.34678785
837	2.346696411
838	2.346430797
839	2.34642755
840	2.34642261
841	2.346223586
842	2.34546938
843	2.34546633
844	2.345161404
845	2.345087966
846	2.34507818
847	2.344609948
848	2.344607022
849	2.344592606
850	2.344570961
851	2.344544417
852	2.344400238
853	2.344195864
854	2.344156591
855	2.344152645
856	2.344032945
857	2.343616496
858	2.343387807
859	2.342997383
860	2.342911293
861	2.342890244
862	2.342596025
863	2.342471
864	2.342469359
865	2.342389108
866	2.342387341
867	2.342285583
868	2.341925056
869	2.34173321
870	2.341729222
871	2.341686524
872	2.341568069
873	2.341545092
874	2.341458464
875	2.341154594
876	2.340932389
877	2.340800044
878	2.340798485
879	2.340673678
880	2.34043837
881	2.340412963
882	2.340305633
883	2.340301752
884	2.34000544
885	2.33956943
886	2.339146877
887	2.338770563
888	2.338271949
889	2.338254141
890	2.338164351
891	2.337975578
892	2.337971989
893	2.337780353
894	2.337771156
895	2.337592518
896	2.337173722
897	2.337117502
898	2.337116062
899	2.337075521
900	2.337035868
901	2.336850821
902	2.336849043
903	2.336350773
904	2.336082834
905	2.33581262
906	2.335274565
907	2.335271213
908	2.335124857
909	2.334900553
910	2.334528395
911	2.334384085
912	2.333976344
913	2.333667894
914	2.333474099
915	2.333417876
916	2.332877719
917	2.33271167
918	2.332653534
919	2.33254846
920	2.33227126
921	2.332084457
922	2.332034936
923	2.332025803
924	2.331964105
925	2.331826772
926	2.331663066
927	2.331561349
928	2.331359404
929	2.331297928
930	2.331133081
931	2.330998419
932	2.330956558
933	2.330904775
934	2.330848825
935	2.330205898
936	2.33013253
937	2.329923444
938	2.329650861
939	2.329647667
940	2.32960509
941	2.329457315
942	2.32942246
943	2.329417056
944	2.329330351
945	2.329303579
946	2.329300162
947	2.329256247
948	2.329218999
949	2.329213537
950	2.329161469
951	2.329118272
952	2.32908505
953	2.329075773
954	2.328923582
955	2.328803432
956	2.328764658
957	2.328760052
958	2.328754357
959	2.328674315
960	2.328475513
961	2.328427782
962	2.328423346
963	2.328168302
964	2.327757728
965	2.327565365
966	2.327537177
967	2.32739694
968	2.32697444
969	2.326840431
970	2.326655631
971	2.326472961
972	2.326417911
973	2.326414861
974	2.325769224
975	2.32544881
976	2.325231343
977	2.325212343
978	2.325206967
979	2.325162459
980	2.325150356
981	2.324806055
982	2.324473651
983	2.324278465
984	2.32421769
985	2.324199364
986	2.324185549
987	2.324131871
988	2.324102916
989	2.323767769
990	2.3233042
991	2.323245162
992	2.323228051
993	2.323223112
994	2.32320761
995	2.322922457
996	2.322907096
997	2.322902571
998	2.322572391
999	2.322548958
